,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
59,2023-05-17,06:00:00,1,4.67,4.19,5.26,-3.17,-4.84,0.0,0.86,-3.58,4.13,2.03,-1.34,5.09,175.82,103.77,270.29,27.37,-17.64,81.56,4.05,2.84,5.86,431.1,414.8,445.3,138069,101088,216378
60,2023-05-17,12:00:00,1,4.44,4.11,4.67,-4.17,-4.57,-2.69,0.63,-2.53,2.99,0.61,-2.06,2.39,174.04,131.01,215.01,7.99,-27.99,33.05,3.12,2.8,4.34,415.6,409.9,431.4,119154,101619,164415
61,2023-05-17,18:00:00,1,4.27,4.0,4.61,-3.08,-4.22,1.66,2.58,-0.45,4.38,1.08,-1.42,2.92,137.9,67.5,186.53,14.55,-20.9,44.29,3.76,2.3,5.66,425.7,410.5,442.6,129896,77888,353034
62,2023-05-18,00:00:00,1,4.05,3.69,4.38,-2.9,-3.74,-0.43,2.3,0.41,3.99,0.41,-1.77,3.93,138.61,95.94,168.1,5.66,-26.28,71.08,3.08,1.1,5.6,424.1,403.7,463.8,177678,29056,364213
63,2023-05-18,06:00:00,1,4.01,3.85,4.13,-3.03,-3.89,-1.05,2.57,-0.11,3.91,-0.19,-1.45,1.07,141.87,103.65,180.69,-2.74,-21.09,15.68,0.81,0.49,5.71,421.5,413.8,500.4,41389,9752,377624
64,2023-05-18,12:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
65,2023-05-18,18:00:00,2,3.86,3.71,4.18,-2.78,-4.0,0.69,2.02,-0.15,3.74,1.62,0.18,2.79,141.15,73.48,181.99,24.98,2.72,46.15,3.95,0.8,5.37,464.3,330.65,470.7,218637,16662,302517
66,2023-05-19,00:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
67,2023-05-19,06:00:00,2,4.93,4.17,6.29,-2.76,-4.62,2.39,3.7,-1.7,6.11,0.44,-2.51,4.3,123.26,62.65,199.61,5.28,-32.76,48.85,2.54,0.5,8.78,336.95,286.57,444.4,43932,11408,141229
68,2023-05-19,12:00:00,0,6.45,5.3,7.68,-5.2,-6.92,-1.14,1.14,-1.66,4.77,-0.79,-5.19,5.85,165.83,115.39,199.0,-7.28,-63.44,68.36,5.05,1.71,10.23,337.52,308.59,352.31,64493,31391,135043
69,2023-05-19,18:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
70,2023-05-20,00:00:00,2,15.91,11.18,20.6,2.12,-10.72,13.18,-10.51,-14.75,4.99,-9.7,-17.0,12.69,285.57,26.9,341.75,-40.48,-75.97,43.08,10.81,2.92,27.34,414.6,378.37,507.9,67639,20092,351716
71,2023-05-20,06:00:00,1,14.28,11.75,18.67,4.35,-9.12,12.97,-6.49,-16.6,15.51,-2.02,-16.61,9.38,332.86,3.91,355.72,-7.98,-83.61,39.66,7.98,1.65,15.53,487.3,457.6,533.4,258727,38092,559713
72,2023-05-20,12:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
73,2023-05-20,18:00:00,2,5.86,4.72,8.37,2.21,-1.44,7.02,-4.75,-7.58,-1.39,-1.1,-4.21,3.2,297.29,253.76,343.65,-10.72,-49.16,25.69,0.58,0.1,3.17,556.4,491.6,610.92,97617,5000,534741
74,2023-05-21,00:00:00,0,4.76,3.89,5.63,4.03,0.89,5.05,-2.13,-3.88,0.93,-0.77,-4.3,1.09,331.01,5.34,354.41,-9.65,-68.62,15.7,0.7,0.1,2.47,496.91,448.73,618.05,175319,20894,570313
75,2023-05-21,06:00:00,0,4.49,3.76,5.99,3.64,-1.43,4.62,-0.72,-5.17,2.11,-1.37,-4.49,1.76,336.64,0.34,359.04,-17.35,-53.54,24.45,0.82,0.1,2.8,460.32,429.99,508.97,81895,23972,184141
76,2023-05-21,12:00:00,0,6.99,3.95,12.87,0.76,-5.32,5.7,-3.43,-11.75,7.57,-2.78,-7.95,7.33,298.85,5.77,355.01,-24.23,-77.35,81.45,2.74,0.1,5.67,479.37,446.44,566.65,80040,17997,337117
77,2023-05-21,18:00:00,0,7.75,4.45,11.03,-0.04,-6.25,5.09,-1.04,-7.9,7.31,-5.66,-10.48,4.29,291.77,23.44,340.86,-45.05,-87.54,35.96,3.67,0.59,9.0,536.33,465.9,590.89,185725,47532,425637
78,2023-05-22,00:00:00,0,6.69,2.19,8.96,3.21,-6.78,6.8,0.63,-7.0,7.12,-2.28,-6.72,4.12,22.23,3.74,356.1,-21.3,-80.31,36.14,3.28,1.98,4.37,574.4,526.2,605.55,242273,149655,334933
79,2023-05-22,06:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
80,2023-05-22,12:00:00,2,5.71,2.59,8.83,3.36,-2.96,6.46,-0.34,-7.67,5.64,0.31,-6.06,5.48,357.99,4.42,355.76,2.75,-63.48,59.92,3.4,1.17,11.74,556.48,527.74,625.5,216349,16087,512775
81,2023-05-22,18:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
82,2023-05-23,00:00:00,2,7.82,5.72,9.26,4.64,-1.31,8.99,-4.97,-7.78,-0.03,-0.84,-5.78,4.32,315.14,5.1,359.18,-6.26,-44.87,41.77,2.34,1.0,10.34,579.29,539.68,629.58,264051,181266,525649
